Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
15.89,100970.73,29.53,19,9,2024,2,34,31,47.614913,-122.177781,89,0,0,0049,0.0,0.0,0.0,0.0,0.0,6551.3,0.0,0.0,0,0.0,0.0,4B97,59000000000049000000000000000000000000FFE9000000000000000000000000004B97
15.88,100969.77,29.61,19,9,2024,2,34,32,47.614913,-122.17778399999999,89,1,0,0049,0.0,0.0,0.0,0.0,0.0,6547.0,0.0,0.0,0,0.0,0.0,9AC9,59000100000049000000000000000000000000FFBE000000000000000000000000009AC9
15.87,100968.78,29.69,19,9,2024,2,34,33,47.614913,-122.177782,89,2,0,0049,0.0,0.0,0.0,0.0,0.0,6544.5,0.0,0.0,0,0.0,0.0,0097,59000200000049000000000000000000000000FFA5000000000000000000000000000097
15.86,100968.12,29.75,19,9,2024,2,34,34,47.614911,-122.177782,89,3,0,0049,0.0,0.0,0.0,0.0,0.0,6553.2,0.0,0.0,0,0.0,0.0,5035,59000300000049000000000000000000000000FFFC000000000000000000000000005035
15.86,100969.27,29.65,19,9,2024,2,34,35,47.614911,-122.177779,89,4,0,0049,0.0,0.0,0.0,0.0,0.0,6551.4,0.0,0.0,0,0.0,0.0,6CB1,59000400000049000000000000000000000000FFEA000000000000000000000000006CB1
15.86,100970.59,29.54,19,9,2024,2,34,36,47.614912,-122.17777699999999,89,5,0,0049,0.0,0.0,0.0,0.0,0.0,6551.5,0.0,0.0,0,0.0,0.0,40E7,59000500000049000000000000000000000000FFEB0000000000000000000000000040E7
15.85,100971.14,29.5,19,9,2024,2,34,37,47.614912,-122.17777699999999,89,6,1,0049,0.0,0.0,0.0,0.0,0.0,6549.7,0.0,0.0,0,0.0,0.0,A255,59000600010049000000000000000000000000FFD900000000000000000000000000A255
15.85,100972.14,29.41,19,9,2024,2,34,38,47.614913,-122.17777699999999,89,7,1,0049,0.0,0.0,0.0,0.0,0.0,6550.6,0.0,0.0,0,0.0,0.0,01A7,59000700010049000000000000000000000000FFE20000000000000000000000000001A7
15.85,100972.12,29.42,19,9,2024,2,34,39,47.614913,-122.177775,89,8,1,0049,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0,0.0,0.0,DA84,59000800010049000000000000000000000000000E00000000000000000000000000DA84
15.85,100972.67,29.37,19,9,2024,2,34,40,47.614911,-122.177775,89,9,1,0049,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0,0.0,0.0,C30E,59000900010049000000000000000000000000005300000000000000000000000000C30E
