Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
13.08,102247.56,578.84,8,1,2025,1,42,31,47.615412,-122.177589,89,2,0,0029,0.0,0.0,0.0,0.0,0.0,6551.1,0.0,0.0,0,0.0,0.0,2CB8,59000200000029000000000000000000000000FFE7000000000000000000000000002CB8
13.08,102247.47,578.85,8,1,2025,1,42,32,47.615409,-122.177584,89,3,0,0029,0.0,0.0,0.0,0.0,0.0,6549.5,0.0,0.0,0,0.0,0.0,1BD0,59000300000029000000000000000000000000FFD7000000000000000000000000001BD0
13.09,102247.17,578.87,8,1,2025,1,42,33,47.61541,-122.177588,89,4,0,0029,0.0,0.0,0.0,0.0,0.0,6548.9,0.0,0.0,0,0.0,0.0,1F70,59000400000029000000000000000000000000FFD1000000000000000000000000001F70
13.09,102247.12,578.87,8,1,2025,1,42,34,47.61541,-122.17759099999999,89,5,0,0029,0.0,0.0,0.0,0.0,0.0,6546.0,0.0,0.0,0,0.0,0.0,970A,59000500000029000000000000000000000000FFB400000000000000000000000000970A
13.09,102246.25,578.94,8,1,2025,1,42,35,47.615403,-122.17759099999999,89,6,0,0029,0.0,0.0,0.0,0.0,0.0,6545.3,0.0,0.0,0,0.0,0.0,0D54,59000600000029000000000000000000000000FFAD000000000000000000000000000D54
13.09,102246.16,578.95,8,1,2025,1,42,36,47.615401,-122.17759199999999,89,7,2,0029,0.0,0.0,0.0,0.0,0.0,6551.8,0.0,0.0,0,0.0,0.0,C303,59000700020029000000000000000000000000FFEE00000000000000000000000000C303
13.09,102245.5,579.01,8,1,2025,1,42,37,47.615399,-122.1776,89,8,3,0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,97B2,5900080003002900000000000000000000000000000000000000000000000000000097B2
13.09,102245.34,579.02,8,1,2025,1,42,38,47.615396999999994,-122.17760399999999,89,9,6,0029,-0.5,-0.6000000000000001,-0.5,-0.6000000000000001,0.4,4.0,0.0,0.0,0,0.0,0.0,9453,59000900060029FFFFBFFFFAFFFFBFFFFA00040028000000000000000000000000009453
13.09,102245.26,579.03,8,1,2025,1,42,39,47.615401,-122.177605,89,10,6,0029,-0.5,-0.6000000000000001,-0.5,-0.6000000000000001,0.4,6552.6,0.0,0.0,0,0.0,0.0,A207,59000A00060029FFFFBFFFFAFFFFBFFFFA0004FFF600000000000000000000000000A207
13.08,102245.25,579.03,8,1,2025,1,42,40,47.615406,-122.17760299999999,89,11,9,0029,-0.5,-0.5,-0.5,-0.5,0.2,6549.7,0.0,0.0,0,0.0,0.0,FF0B,59000B00090029FFFFBFFFFBFFFFBFFFFB0002FFD900000000000000000000000000FF0B
