Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
12.64,100727.41,49.87,7,2,2025,6,43,11,47.614968999999995,-122.178432,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,000000000000000000000000000000000000000000000000000000000000000000000000
12.59,100727.72,49.84,7,2,2025,6,43,12,47.614968,-122.178435,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,000000000000000000000000000000000000000000000000000000000000000000000000
12.57,100728.12,49.81,7,2,2025,6,43,13,47.614967,-122.17843699999999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,000000000000000000000000000000000000000000000000000000000000000000000000
12.52,100728.26,49.8,7,2,2025,6,43,14,47.61497,-122.178444,89,0,0,25,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.0,35726,590000000000190000000000000000000000000009000000000000000000000000008B8E
12.47,100727.95,49.82,7,2,2025,6,43,15,47.614975,-122.17846,89,1,0,25,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0,0.0,0.0,48358,59000100000019000000000000000000000000001900000000000000000000000000BCE6
12.41,100727.56,49.85,7,2,2025,6,43,16,47.614976,-122.178444,89,2,0,25,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0,0.0,0.0,10756,590002000000190000000000000000000000000034000000000000000000000000002A04
12.35,100727.79,49.84,7,2,2025,6,43,17,47.614975,-122.17844799999999,89,3,0,25,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0,0.0,0.0,39710,590003000000190000000000000000000000000019000000000000000000000000009B1E
12.29,100727.84,49.83,7,2,2025,6,43,18,47.614974,-122.178443,89,4,0,25,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,0,0.0,0.0,19418,590004000000190000000000000000000000000011000000000000000000000000004BDA
12.22,100728.2,49.8,7,2,2025,6,43,19,47.614978,-122.178438,89,5,1,25,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,0.0,0.0,0,0.0,0.0,35203,59000500010019000000000000000000000000FFF9000000000000000000000000008983
12.16,100728.16,49.81,7,2,2025,6,43,20,47.614982,-122.17842999999999,89,6,1,25,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,60904,59000600010019000000000000000000000000000100000000000000000000000000EDE8
12.09,100727.49,49.86,7,2,2025,6,43,21,47.614981,-122.178427,89,7,1,25,0.0,0.0,0.0,0.0,0.0,-4.2,0.0,0.0,0,0.0,0.0,9809,59000700010019000000000000000000000000FFD6000000000000000000000000002651
12.02,100726.98,49.9,7,2,2025,6,43,22,47.614982,-122.17842499999999,89,8,2,25,0.2,-1.1,0.2,-1.1,-0.8,-11.200000000000001,0.0,0.0,0,0.0,0.0,37042,5900080002001900002FFFF500002FFFF5FFF8FF900000000000000000000000000090B2
11.95,100727.16,49.89,7,2,2025,6,43,23,47.614982999999995,-122.178427,89,9,3,25,0.2,-2.4000000000000004,0.2,-2.4000000000000004,-1.7000000000000002,-11.200000000000001,0.0,0.0,0,0.0,0.0,55194,5900090003001900002FFFE800002FFFE8FFEFFF9000000000000000000000000000D79A
11.91,100727.3,49.88,7,2,2025,6,43,24,47.614985,-122.17842999999999,89,10,3,25,0.2,-2.4000000000000004,0.2,-2.4000000000000004,-1.7000000000000002,-11.200000000000001,0.0,0.0,0,0.0,0.0,34781,59000A0003001900002FFFE800002FFFE8FFEFFF900000000000000000000000000087DD
11.84,100727.5,49.86,7,2,2025,6,43,25,47.614985999999995,-122.17842999999999,89,11,4,25,0.4,-3.6,0.4,-3.6,-3.8000000000000003,-12.8,0.0,0.0,0,0.0,0.0,2052,59000B0004001900004FFFDC00004FFFDCFFDAFF80000000000000000000000000000804
11.77,100727.47,49.86,7,2,2025,6,43,26,47.614987,-122.178427,89,12,5,25,0.4,-4.7,0.4,-4.7,-4.6000000000000005,-8.5,0.0,0.0,0,0.0,0.0,13914,59000C0005001900004FFFD100004FFFD1FFD2FFAB00000000000000000000000000365A
11.7,100727.1,49.89,7,2,2025,6,43,27,47.614987,-122.17842599999999,89,13,5,25,0.4,-4.7,0.4,-4.7,-4.6000000000000005,-10.3,0.0,0.0,0,0.0,0.0,8572,59000D0005001900004FFFD100004FFFD1FFD2FF9900000000000000000000000000217C
11.64,100727.5,49.86,7,2,2025,6,43,28,47.614989,-122.178433,89,14,6,25,0.2,-5.9,0.2,-5.9,-5.4,-11.100000000000001,0.0,0.0,0,0.0,0.0,13004,59000E0006001900002FFFC500002FFFC5FFCAFF910000000000000000000000000032CC
